,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Indices of total farm output by State, 1960-2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See average annual change for different time periods at the bottom of this table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Indices are relative to Alabama in 1996 = 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1984,0.8060,1.2634,0.5966,5.9118,1.1066,0.1184,0.1661,1.5955,1.3253,3.6826,0.8666,2.6558,1.6689,2.0905,1.0787,0.5920,0.1234,0.4408,0.1525,1.2531,2.7974,1.4238,0.8610,0.5431,1.5281,1.1648,2.6371,0.0477,0.2143,0.3633,0.1096,1.2068,1.5931,1.0007,0.7264,1.3060,0.0167,0.4480,1.3001,0.8389,3.0746,0.2451,0.7273,0.1717,1.1909,2.3231,0.1274,0.2367
1985,0.8468,1.2717,0.5905,6.0071,1.1787,0.1193,0.1768,1.6007,1.3244,3.9962,0.8359,3.1111,1.7955,2.2614,1.1495,0.5447,0.1267,0.4511,0.1504,1.3523,3.0119,1.6469,0.9067,0.3887,1.5138,1.2611,2.9605,0.0481,0.2351,0.3854,0.1018,1.2187,1.7602,1.0261,0.7079,1.3720,0.0203,0.4353,1.3027,0.8690,3.3973,0.2461,0.7147,0.1756,1.1283,2.3399,0.1287,0.2390
1986,0.7791,1.2352,0.5984,5.8463,1.1837,0.1211,0.1706,1.6821,1.1709,3.9795,0.8509,2.9081,1.6897,2.2897,1.0134,0.5240,0.1272,0.4070,0.1544,1.2530,2.8083,1.5372,0.7452,0.6151,1.4178,1.2724,2.9263,0.0481,0.2203,0.3659,0.0991,1.1908,1.6725,1.0503,0.7223,1.3618,0.0195,0.3679,1.2769,0.7718,3.3012,0.2560,0.6638,0.1713,1.1277,2.3489,0.1250,0.2507
1987,0.8731,1.4203,0.6010,6.3364,1.1176,0.1161,0.1904,1.6785,1.2617,3.7703,0.8911,2.6882,1.7290,2.2381,0.9623,0.5333,0.1225,0.4286,0.1442,1.1957,2.7419,1.5278,0.8910,0.6372,1.5056,1.1928,2.8747,0.0456,0.2360,0.3776,0.0999,1.1646,1.6031,1.0107,0.7717,1.3579,0.0197,0.4062,1.2897,0.7865,3.1748,0.2685,0.6937,0.1694,1.2197,2.2973,0.1226,0.2473
1988,0.9008,1.5089,0.5424,5.8156,1.1597,0.1131,0.1975,1.8046,1.3094,3.1963,0.8910,2.1190,1.3544,2.1212,0.9186,0.6315,0.1237,0.4108,0.1429,1.0789,2.2253,1.3825,0.9175,0.4665,1.6207,0.6557,2.8969,0.0441,0.2322,0.3956,0.0930,1.1002,1.3411,1.1124,0.8224,1.2978,0.0189,0.4214,1.0520,0.7493,3.3012,0.2799,0.7266,0.1655,1.3276,1.9626,0.1121,0.2316
1989,0.9132,1.5420,0.6085,6.5860,1.1174,0.1072,0.2046,1.7756,1.3916,3.8309,0.9230,2.9450,1.7668,2.0273,1.0887,0.5557,0.1235,0.4260,0.1299,1.2512,2.7626,1.5085,0.8764,0.6309,1.6813,0.9307,2.9510,0.0412,0.2278,0.4151,0.0996,1.1206,1.5443,1.1097,0.8251,1.3545,0.0169,0.5441,1.1188,0.7583,3.4157,0.2716,0.7639,0.1663,1.3137,2.2382,0.1248,0.2343
1990,0.9424,1.5994,0.5455,6.8655,1.1575,0.1197,0.2139,1.7112,1.2624,3.9212,0.9783,2.8933,1.7811,2.3774,1.0745,0.6232,0.1209,0.4501,0.1436,1.3192,2.8647,1.4975,0.9243,0.6480,1.7805,1.2012,3.1072,0.0409,0.2253,0.4036,0.1032,1.1368,1.6583,1.1116,0.8651,1.3670,0.0154,0.4136,1.3012,0.7540,3.4950,0.2802,0.7757,0.1667,1.4484,2.3319,0.1331,0.2397
1991,1.0458,1.6552,0.5779,6.4623,1.1291,0.1163,0.2257,1.7593,1.4233,3.8806,0.9938,2.7257,1.6096,2.2509,1.1054,0.5868,0.1361,0.4489,0.1397,1.3684,2.8436,1.5370,0.9937,0.7197,1.9263,1.1871,3.1154,0.0427,0.2317,0.4378,0.0979,1.1392,1.5109,1.0978,0.8625,1.3106,0.0160,0.4412,1.3214,0.7680,3.7992,0.2804,0.7763,0.1668,1.4008,2.3349,0.1295,0.2922
1992,0.9915,1.7963,0.6221,7.0371,1.2041,0.1330,0.2247,1.8462,1.4421,4.4745,0.9896,3.2816,2.0084,2.4548,1.2035,0.6718,0.1243,0.4694,0.1518,1.3619,3.0005,1.7462,1.1087,0.6490,2.0100,1.4235,3.1860,0.0456,0.2345,0.4494,0.1001,1.1217,1.7385,1.1057,0.8356,1.4245,0.0138,0.4663,1.3536,0.8559,3.9055,0.2964,0.8207,0.1839,1.4259,2.2230,0.1359,0.2592
1993,0.9431,1.6938,0.6031,7.2252,1.2566,0.1334,0.2186,1.8869,1.4155,3.2936,1.0332,2.9701,1.9119,2.3376,1.1648,0.6115,0.1221,0.4509,0.1490,1.4105,2.3961,1.5356,1.0222,0.7355,2.0282,1.1630,2.9266,0.0432,0.2406,0.4655,0.1054,1.1452,1.6127,1.0974,0.8897,1.3937,0.0140,0.4265,1.2114,0.8223,4.0452,0.2991,0.7670,0.1696,1.6209,2.0606,0.1487,0.2747
